"","log2FoldChange","padj","Factor"
"ko:K09580",-0.125079993283716,0.74163080030457,"Menthol_Menthol_vs_Control"
"ko:K09584",-1.30278645806545,0.0146779005189241,"Menthol_Menthol_vs_Control"
"ko:K09595",-0.644973424071567,0.299072519373088,"Menthol_Menthol_vs_Control"
"ko:K09667",0.186968576668705,0.843844396605549,"Menthol_Menthol_vs_Control"
"ko:K10355",0.573883936972041,0.0766079730338255,"Menthol_Menthol_vs_Control"
"ko:K10364",-0.457972394782591,0.359169179894211,"Menthol_Menthol_vs_Control"
"ko:K10365",-0.183792727012836,0.771244640356551,"Menthol_Menthol_vs_Control"
"ko:K10411",0.0746886627040558,NA,"Menthol_Menthol_vs_Control"
"ko:K10418",-0.391943149194571,0.549514365319541,"Menthol_Menthol_vs_Control"
"ko:K10419",-0.0156299032870644,0.976907203762726,"Menthol_Menthol_vs_Control"
"ko:K10420",-1.05011254981401,0.255045082448202,"Menthol_Menthol_vs_Control"
"ko:K10427",-1.44932551130613,NA,"Menthol_Menthol_vs_Control"
"ko:K10435",-0.188305920855722,0.798447138314105,"Menthol_Menthol_vs_Control"
